dag_id,task_id,task_type,dag_submit_ms,task_ready_ms,scheduled_ms,start_ms,finish_ms,tier,datacenter_id,vm_id,duration_ms,length_mi,proj_edge_sec,proj_cloud_sec,input_bytes,output_bytes,gpu_mem_mb,gpu_util,queue_wait_ms,net_propagation_ms,net_tx_ms,net_total_ms
dag_dea3232cf12b4571,vae_encode_9dca8dc7,vae_encode,3098819,3098819.00,360126804.00,360126874.21,360127462.55,2,1000,16,513.98,205590,205.590,0.514,1396718060,139671806,2664.03,0.79,70.21,-1,-1,0.00
dag_926c399ded33468b,base_model_load_87e363d5,base_model_load,3104494,3104494.00,360127462.55,360127463.98,364892570.60,1,12,12,11912.75,4765101,4765.101,11.913,4000128982,400012898,7629.64,0.83,1.43,-1,-1,0.00
dag_1e4a705fdbf14930,vae_encode_1f5212b0,vae_encode,3104961,3104961.00,364892570.60,364892572.02,365082001.63,1,7,2,473.56,189424,189.424,0.474,861255292,86125529,1642.71,0.62,1.42,-1,-1,0.00
dag_3d98aa9c72384d4c,vae_encode_cb0bca1f,vae_encode,3114329,3114329.00,365082001.63,365082003.05,365279373.66,1,7,2,493.41,197365,197.365,0.493,1195230192,119523019,2279.72,0.93,1.42,-1,-1,0.00
dag_ef4ec8ca8d9b4d73,base_model_load_2b3ffa3d,base_model_load,3115357,3115357.00,365279373.66,365279375.08,374547819.70,1,10,8,23171.10,9268439,9268.439,23.171,5808187637,580818763,11078.24,0.90,1.43,-1,-1,0.00
dag_ee6cfde2011c44e9,vae_encode_ff6987f6,vae_encode,3124022,3124022.00,374547819.70,374547821.12,374757164.74,1,8,4,523.35,209338,209.338,0.523,971088408,97108840,1852.20,0.93,1.42,-1,-1,0.00
dag_efffb1bab8ff478e,vae_encode_65321c71,vae_encode,3128008,3128008.00,374757164.74,374757166.16,374889567.77,1,12,12,331.00,132400,132.400,0.331,781578857,78157885,1490.74,0.40,1.42,-1,-1,0.00
dag_5c8f1b0411154776,vae_encode_4f92f27c,vae_encode,3129514,3129514.00,374889567.77,374889569.19,375091093.81,1,8,4,503.80,201519,201.519,0.504,1240177291,124017729,2365.45,0.56,1.42,-1,-1,0.00
dag_687db938f2d94ab7,vae_encode_ccaef7fa,vae_encode,3131601,3131601.00,375091093.81,375091095.23,375290328.85,1,7,2,498.07,199228,199.228,0.498,1184054519,118405451,2258.40,0.61,1.42,-1,-1,0.00
dag_7a5a3093aabf494e,vae_encode_a7d80c11,vae_encode,3132341,3132341.00,375290328.85,375290330.27,375498972.89,1,8,4,521.59,208637,208.637,0.522,811040201,81104020,1546.94,0.62,1.42,-1,-1,0.00
